Name,Typologie société,Représentant légal,Adresse siège social,Téléphone,mail,LABEL,Catégorie ,Adresse ,Entreprise connue,Entp recommandée? ,Origine importation
AS RENOVATION,EI,,"28 chemin du Castelet, 31120 Portet-sur-Garonne, France",0663953275,aselectricite31@gmail.com,,"Électricité,Charpentier,Carreleur,Démolisseur,Entrepreneur de Voirie,Chapiste,Entrepreneur BTP",,Oui,oui,Base donnée AR
AZ Constructions et Rénovations,SAS,,"34 rue Jules Amilhau, 31100 Toulouse, France",0603345527,az.constructionsetrenovations@gmail.com,,"Électricité,Entreprise de construction,Entrepreneur BTP",,,,Base donnée AR
B.S RENOVATION,SASU,,"61 rue pierre cazeneuve, 31200 toulouse, France",0780331886,b.srenovation@outlook.fr,,"Service à la personne,Peintre",,,,Base donnée AR
Bâti Lopez,EI,,"4 place du Sidobre, 31140 Colomiers, France",0773778540,batilopez06@gmail.com,,Maçon,,,,Base donnée AR
BENOUIS LARBI BENOUIS NORINE - PEINTURE NOR,EI,,"18 rue de menton, 31400 Toulouse, France",0769548426,caip03710@gmail.com,,Peintre,,,,Base donnée AR
BERRADIA BOUSID,EI,,"186 ROUTE DE LAUNAGUET, 31200 Toulouse, France",0622021856,bousid.berradia31@gmail.com,,Chauffagiste,,,,Base donnée AR
BERTOBAT,SARL,,"826 Route d'Eaunes, 31870 Beaumont-sur-Lèze, France",=+33763707147,bertobat31@gmail.com,,"Service à la personne,Dalleur,Démolisseur,Entreprise de construction,Terrassier,Entrepreneur BTP,Coifreur / bancheur,Ferrailleur,Poseur de clôtures,Entreprise de terrassement,Maçon",,,,Base donnée AR
BHC RÉNOVATION,SASU,,"61 rue pierre Cazeneuve, 31200 Toulouse, France",0652059865,bhcrenov@gmail.com,,"Plombier,Électricité,Peintre,Autres",,,,Base donnée AR
Bigue,Non spécifié,,"29 avenue du Général de Gaulle, 31700 Blagnac, France",0658208221,taram.basacou@gmail.com,,"Menuisier,Ferronnier",,,,Base donnée AR
bina travaux 31,SAS,,"96or avenue de lyon, 31500 Toulouse, France",0610211280,bina@neuf.fr,,Entreprise de construction,,,,Base donnée AR
BL31,EI,,"14 Passage Paul Gauguin, 31100 Toulouse, France",=+33664360628,BL31@live.fr,,Électricité,,,,Base donnée AR
BMBAT31,Micro-entreprise,,"60 allée de bellefontaine, 31100 Toulouse, France",0766010208,mansourboujeffan@gmail.com,,Spécialiste salle de bains,,,,Base donnée AR
BMR Plâtrerie,EI,,"2 Chemin des Syndics, 31700 Cornebarrieu, France",0664788493,bmr.placo31@gmail.com,,"Peintre,Enduiseur,Parquetiste,Plaquiste,Menuisier Poseur,Entrepreneur BTP",,,,Base donnée AR
Boscat,SARL,,"1632 route de Varennes, 31340 le born, France",0677799423,boscatrc@gmail.com,,(Non spécifiée),,,,Base donnée AR
BOUAZIZI AYMEN,Auto-entrepreneur,,"56 chemin de la pelude, 31400 toulouse, France",0635434395,aymenbouazizi31@gmail.com,,Plaquiste,,,,Base donnée AR
Boudhiba Lyes,Non spécifié,,"3 Rue de l'Orient, 31000 Toulouse, France",=+33673585856,boudhiba.e@live.fr,,"Plombier,Électricité,Peintre,Carreleur,Démolisseur,Parquetiste,Plaquiste,Poseur de dressing,Poseur de papier peint,Peintre en bâtiment,Poseur de moquette,Plâtrier",,,,Base donnée AR
BSM PEINTURE,SASU,,"3 RUE CHARLOTTE DELBO BAT B appt 10, 31200 TOULOUSE, France",0642546857,bsm.societe@hotmail.com,,Spécialiste salle de bains,,,,Base donnée AR
BST BATIMENT,EI,,"5 impasse de la colombette, 31000 Toulouse, France",0762000789,batiment.bst@gmail.com,,Entrepreneur BTP,,,,Base donnée AR
BTP occitanie,EI,,"9, rue Marcel Pagnol, 31100 Toulouse, France",0603398063,btp.occitanie.31100@gmail.com,,Entrepreneur BTP,,,,Base donnée AR
Carroceram,SASU,,"39 Rue Jean Dousset, 31100 Toulouse, France",0768852673,carroceram31@gmail.com,,Carreleur,,,,Base donnée AR
CBT Habitat,EI,,"42 rue de la découverte, 31670 Labège, France",0661224634,ichabitat.adsl@gmail.com,,"Charpentier,Couvreur",88439630000011,,,Base donnée AR
CCELEC,EI,,"40 RUE DE BAGNOLS, 31790 SAINT JORY, France",0751168631,court.circui123@gmail.com,,Électricité,88031305100026,,,Base donnée AR
CG PEINTURE,EI,,"980 route du village, 31370 LE PIN MURELET, France",0610566063,cg.peinture31@gmail.com,,Peintre,,,,Base donnée AR
CHB SOLUTIONS,Non spécifié,,"14 rue de la gironde, 31100 toulouse",0781599854,haythem.chaieb91@gmail.com,,Autres,,,,Base donnée AR
CHEBBI RIDHA,Micro-entreprise,,"12 rue de la fregale, 31240 L'union, France",0783268207,chebbiconstruction31@gmail.com,,"Service à la personne,Plombier,Peintre,Entreprise de construction",,Oui,non,Base donnée AR
Chokri saoudi,Non spécifié,,"44 avenue de fronton, 31200 Toulouse",0780372426,saoudic13@gmail.com,,Enduiseur,,,,Base donnée AR
Cleanup Service,Non spécifié,,"6 chemin Léopold Galy, 31300 Toulouse, France",0695943769,cleanupservicepro@gmail.com,,Nettoyeur de bâtiment,,,,Base donnée AR
CLIMAISON(95395183700012),SASU,,"3 IMP BERNADAS, 31270 VILLENEUVE-TOLOSANE, France",0745277790,contact.climaison@gmail.com,,"Plombier,Chauffagiste,Plaquiste",,Oui,oui,Base donnée AR
Climeo31,EURL,,"32 Rue Bellegargues, 31140 Aucamville, France",0660219962,cyril.renard31000@yahoo.fr,,Plombier,,,,Base donnée AR
CLIMSERVICES MAINTENANCES,EI,,"1531 chemin du Limouzin, 31330 MERVILLE, France",0642502276,climservices31840@gmail.com,,"Plombier,Chauffagiste,Frigoriste",,,,Base donnée AR
Concept habitat,Non spécifié,,"12 rue du château de ribaute, 31130 QUINT FONSEGRIVES",0670006121,concepthabitat31000@gmail.com,,Entreprise de construction,,,,Base donnée AR
CONFORT FLUIDES SERVICES,SARL,,"2 LOTISSEMENT DE LARTIGUE, 31330 MERVILLE, France",0642042587,confortfluidesservices@gmail.com,,Chauffagiste,94499715400017,,,Base donnée AR
CONSTRUCTIONS NARDARI,SAS,,"11 CHEMIN DE MONTBEL, 31270 FROUZINS, France",0680945211,contactnardari@gmail.com,,"Démolisseur,Entreprise de construction,Entrepreneur BTP,Entreprise de fondations,Entreprise de terrassement,Maçon",,,,Base donnée AR
ct bat31,Non spécifié,,"150 rue Nicolas Louis vauquilen, 31100 Toulouse",0767330426,ctbat31@gmail.com,,Enduiseur,,,,Base donnée AR
DADI MOHAMED - MD. CARRELAGE 31,EI,,"BAT E PORTE B9, 48 RUE BONNAT, 31400 TOULOUSE, France",0665158000,md.carrelage@hotmail.com,,Carreleur,,,,Base donnée AR
Daniel Prestations,EI,,"x654 Chemin de l'Estelpugue, 31840 AUSSONNE, France",0628276860,mjdan31@hotmail.fr,,Menuisier,,,,Base donnée AR
Dauvergne thony,Non spécifié,,"Rue des ormeaux 1bis, 31150 Fenouillet",0787187867,dauvergnethony@gmail.com,,Menuisier,,,,Base donnée AR
DB DESIGN,EI,,"556 RTE DE LA TUILERIE, 31530 merenvielle, France",0684350940,deco.bat31@gmail.com,,Plaquiste,,,,Base donnée AR
Dbserv31,Auto-entrepreneur,,"9 residence le clos des oliviers, 31870 Lagardelle sur leze, France",0614107760,dblecl31870@gmail.com,,Électricité,,,,Base donnée AR
DecodiStyle,Auto-entrepreneur,,"16 rue du Ver, 31100 Toulouse, France",0749050759,peugetodillon@yahoo.fr,,Peintre,,,,Base donnée AR
decor facades,EI,,"1 RUE du Collori 31790 Saint-Jory, 31790 Saint-Jory, France",0644191128,decorfacades31@gmail.com,,"Service à la personne,Peintre",SIRET number not found.,,,Base donnée AR
Derbali,Non spécifié,,"Route de seysses, 31100 Toulouse",0698495110,derbali.oulfa@hotmail.fr,,Couvreur,,,,Base donnée AR
DERMOUM KAMAL,EI,,"77 rue louis plana, 31500 TOULOUSE, France",0761162662,Khoussahamza9974@gmail.com,,Peintre,,Oui,oui,Base donnée AR
DM PLÂTRERIE,Non spécifié,,"6 Rue de l'Abbé Gabriel latour, 31200 Toulouse, France",0661015813,derbali26@outlook.fr,,Plaquiste,,,,Base donnée AR
Dmelec,Non spécifié,,"19 avenue du Gers, 31270 Frouzins",0689173485,mispouille.elec@gmail.com,,Électricité,,,,Base donnée AR
DOMISOL,Non spécifié,,"63 rue de paloumere, 31410 Saint Hilaire",0679978029,domisoltournsol@outlook.com,,Peintre,,,,Base donnée AR
Doukoure,Non spécifié,,"8 rue du 19 mars, 31790 Saint jory, France",0767767164,doukourepeinture@gmail.com,,Peintre,,,,Base donnée AR
dr.house rénovation,Non spécifié,,"5 rue Georges ledormeur, 31500 Toulouse",0603278507,dr.houserenov@gmail.com,,Entrepreneur TCE,,,,Base donnée AR
DSD Construction,SASU,,"13 impasse martel, 31470 Fonsorbes, France",0629621936,dsdconstruction25@gmail.com,,Entreprise de construction,,,,Base donnée AR
Dylan Sarat,SARL,,"1 impasse du tourmaiet, 31470 fonsorbes, France",0616364193,dylan.saratpeinture31@gmail.com,,"Peintre,Ravaleur,Ravaleur façade ITE,Poseur de papier peint,Peintre en bâtiment,Parqueteur",,,,Base donnée AR
E.I rénovation,EI,,"4 rue de la République, 31800 saint-Gaudens, France",0770403936,emmanuelrenovhabitat@gmail.com,,"Peintre,Couvreur",,,,Base donnée AR
Eclec,EI,,"11 chemin de Monlong, 31100 Toulouse, France",0665271503,cabrion.eclec@gmail.com,,Électricité,,,,Base donnée AR
EI derbali saber,EI,,"APPT A205 BAT A 6 RUE GUILLAUME APEYRIE, 31100 TOULOUSE, France",0626858728,derbali.saber@hotmail.com,,Service à la personne,,,,Base donnée AR
EI Nils George,EI,,"17 rue de la caravelle, 31300 Toulouse, France",=+33681304977,nils.george@gmail.com,,"Parquetiste,Poseur de dressing,Bardeur,Parqueteur",,,,Base donnée AR
EI.POTHIN THIERRY,Non spécifié,,"5 bis rue du stade, 31700 cornebarrieu",0616229280,pothinthierry@orange.fr,,Plaquiste,,,,Base donnée AR
Ekko habitat,Non spécifié,,"6 place du président Thomas Woodrow Wilson, 31000 Toulouse, France",0669026558,contact@ekko-habitat.fr,,Entrepreneur TCE,,,,Base donnée AR
El HACHMI Oussama,Auto-entrepreneur,,"53 Rue de la Providence, 31500 Toulouse, France",0696374769,oussamaelu190@gmail.com,,Menuisier,,,,Base donnée AR
Elec & multiservices occitanie (E&MO),SARL,,"19 rue honoré de Balzac, 31200 Toulouse, France",0614265979,elecmultiservices.occitanie@gmail.com,,Électricité,,,,Base donnée AR
ÉleckMat,EURL,,"340a Route de Fabas, 31620 Fronton, France",=+33612769909,elec.mat31620@gmail.com,,Électricité,,,,Base donnée AR
ELECTOULOUSE,Auto-entrepreneur,,"19 rue violette szabo, 31200 Toulouse, France",0763322670,Tareksouff@hotmail.com,,Électricité,,,,Base donnée AR
ELECTRITEC INNOVATION,EURL,,"15 CHEMIN DE LA VAL RIOUT, 31450 Ayguesvives, France",0621113585,contact.innovelec31@gmail.com,,Électricité,,,,Base donnée AR
ENR RENOV,EI,,"BAT B APT 101, 45 rue Dominique Clos, 31300 Toulouse, France",0628283342,enr.renov@gmail.com,,Autres,,,,Base donnée AR
entreprise J.Z,Non spécifié,,"1197 chemin de peyrot, 31620 bouloc",0615135120,entreprisejz31@gmail.com,,Ravaleur,,,,Base donnée AR
Etablissements LAZARE,Auto-entrepreneur,,"5 rue Auguste Renoir, 31200 Toulouse, France",0744471394,etlazare@outlook.com,,Plombier,,,,Base donnée AR
EURL ALU PROTECH,EI,,"499 chemin des Turques, 31660 BESSIERES, France",0685241759,contact@alu-protech.fr,,"Couvreur,Autres",,,,Base donnée AR
EURL SANCHEZ,EURL,,"127 CHE DU GAILLARD DU PORT, 31410 NOE, France",0671934921,entreprise.sanchez@gmail.com,,Plaquiste,,,,Base donnée AR
EVONERGY,EURL,,"11 rue Vincent van Gogh, 31100 toulouse, France",0788339041,evonergyfr@gmail.com,,Électricité,,,,Base donnée AR
Fathi renovation,Non spécifié,,"17 avenue emmanuel maignan, 31200 Toulouse, France",0784699114,ayoubfathi0710@gmail.com,,"Plombier,Peintre",,,,Base donnée AR
Faure Concepts Réalisations,Non spécifié,,"12h chemin des maures, 31670 Saint Lys, France",0674826889,sarl.fcr@orange.fr,,"Plombier,Autres,Spécialiste salle de bains",,,,Base donnée AR
FAUX PLAFONDS LECONTE,EI,,"101 bis avenue du pic du ger, 31600 Muret, France",0685292250,leconte.peiffres.fr,,Plaquiste,,,,Base donnée AR
FLORINELECT,Auto-entrepreneur,,"3 Chemin de Monricalzal, 31410 Noe, France",33679379937,florinelect@gmail.com,,"Électricité,Poseur d'alarme,Installateur de panneaux solaires / photovoltaïques,Spécialiste en domotique",SIRET number not found.,,,Base donnée AR
FOE multi service,Non spécifié,,"Lieu-dit la Barbere, 31230 L’Isle-en-Dodon, France",0610610704,foe.multiservice@gmail.com,,Terrassier,,,,Base donnée AR
FONTENIAUD JEAN BAPTISTE(89894190100024),EI,,"24 RUE ST LOUIS, 31500 TOULOUSE, France",0682431705,jeanbaptiste.fonteniaud@hotmail.fr,,"Peintre,Parquetiste,Poseur de cuisine,Poseur de dressing",,,,Base donnée AR
galvan Thomas,Non spécifié,,"8 Chemin du Canalet, 31140 Aucamville, France",=+33671322398,e.m.gplaco@gmail.com,,Plaquiste,,,,Base donnée AR
GBAT PLUS,EI,,"61 RUE DES PYRÉNÉES, 31150 GRATENTOUR, France",0664592049,gbatplus@gmail.com,,Charpentier,85150144500015,Oui,oui,Base donnée AR
GéoTherm - Innov',Non spécifié,,"87 rue Achille Viadieu, 31400 Toulouse, France",0648776639,bawiid@gmail.com,,Installateur de pompe à chaleur,,,,Base donnée AR
Géran Thierry,EI,,"27c Chemin de Tartibau, 31600 Saubens, France",0749542969,t.geran@free.fr,,"Menuisier,Menuisier Poseur",,,,Base donnée AR
GH CONSTRUCTION,SAS,,"5 RUE FERDINAND LAULANIE, 31100 toulouse, France",0761220528,ghconstructions31@gmail.com,,"Service à la personne,Menuisier,Plombier,Électricité,Entrepreneur BTP",,,,Base donnée AR
GN VOLT,SASU,,"116 Route d'Espagne, 31100 Toulouse, France",33781704464,contact.Us@gn-volt.fr,,"Menuisier,Plombier,Peintre,Charpentier,Couvreur,Dalleur,Carreleur,Démolisseur,Étancheur,Entreprise de construction,Enduiseur,Chauffagiste,Plaquiste,Ravaleur,Serrurier,Chapiste,Poseur de cuisine,Poseur de dressing,Pisciniste,Menuisier Poseur,Poseur de véranda,Spécialiste salle de bains,Spécialiste de l'aménagement de combles,Poseur/réparateur de volet roulant,Nettoyeur de bâtiment,Installateur de pompe à chaleur,Installateur de panneaux solaires / photovoltaïques,Entreprise de rénovation énergétique,Installateur de VMC / CTA,Coifreur / bancheur,Ferrailleur,Ravaleur façade ITE,Technicien de maintenance de bâtiments,Poseur de clôtures,Façadier,Technicien en climatisation,Peintre en bâtiment,Parqueteur,Entreprise d'isolation,Plâtrier,Entreprise de fondations,Entreprise de terrassement,Maçon,Poseur de portes et fenêtres",,,,Base donnée AR
Goubaev Entreprise,Auto-entrepreneur,,"15 Avenue Emile Zola, 31520 Ramonville St-Agne, France",0769887277,roustamfr@gmail.com,,Entrepreneur BTP,,,,Base donnée AR
GreenElec31,SAS,,"5 place du Morvan, 31100 Toulouse, France",0664576338,greenelec31@gmail.com,,"Service à la personne,Menuisier,Plombier,Électricité,Peintre",93468584300013,Oui,non,Base donnée AR
GTSERVICES,EI,,"35 allée des tricheries, 31840 Seilh, France",0668179882,toulouse.gtservices@gmail.com,,Entrepreneur BTP,,,,Base donnée AR
H.P.C SOLLUTIONS,Non spécifié,,"2 rue de Hespinasse, 31140 saint alban, France",0782278905,hpcsolutions31@gmail.com,,Plombier,,,,Base donnée AR
H’énergie,EI,,"9 rue Adolphe Thiers, 31400 Toulouse, France",0699744107,ilyashrt@gmail.com,,Entrepreneur BTP,,,,Base donnée AR
Habbouba,Non spécifié,,"1665 route de Toulouse, 31620 Fronton, France",0601366953,eurhabbouba@gmail.com,,Maçon,,,,Base donnée AR
HAJJAR CHRISTOPHE,EI,,"11 rue François arago, 31600 muret, France",0650579620,samyradu59760@hotmail.com,,Plombier,,,,Base donnée AR
HASSAN ATTAF,SARL,,"79 AV FRANCOIS MITTERRAND, 31800 SAINT-GAUDENS, France",0682779774,sanithermeservices@gmail.com,,"Plombier,Chauffagiste",,,,Base donnée AR
HBSolar,Non spécifié,,"quartier Montidet, 31160 Izaut-de-l'Hôtel",0638449695,HBsolar31@gmail.com,,"Service à la personne,Autres",,,,Base donnée AR
Helieau Solutions,SAS,,"2, Rue Lucie Aubrac, 31880 La Salvetat-Saint-Gilles, France",0762230457,amos.saakian@helieausolutions.fr,,Électricité,,,,Base donnée AR
HOME DESIGN,EI,,"9 bis rue chateaubriand, 31830 Plaisance du touch, France",0615230393,consulting.design.engineering@gmail.com,,Menuisier,,,,Base donnée AR
HTE SOLAR,SAS,,"36 bis chemin de Belbèze, 31240 Saint-Jean, France",0760361640,contact@htesolar.com,,Électricité,,,,Base donnée AR
I.K.E ÉLECTRICITÉ,Non spécifié,,"9 RUE BACQUIE FONADE, 31700 BLAGNAC",0644850173,kanteissa@yahoo.fr,,Électricité,,,,Base donnée AR
ICST PLOMBERIE,Non spécifié,,"62 Chemin du Clou, 31100 Toulouse, France",=+33749510306,nad.icst@hotmail.com,,Entrepreneur BTP,,,,Base donnée AR
IMPERM,EURL,,"417 D ROUTE DE MIREMONT, 31870 BEAUMONT-SUR-LEZE, France",0664673886,contact@imperm.fr,,Enduiseur,,,,Base donnée AR
innomenuiserie,EI,,"8 Place Roger Salengro, 31000 TOULOUSE, France",0761047365,contact@innomenuiserie.fr,,"Menuisier,Vitrier,Menuisier Poseur,Poseur/réparateur de volet roulant,Poseur de clôtures",,,,Base donnée AR
INTERCLIM31,SAS,,"31 Avenue Lafforge, 31100 TOULOUSE, France",0651313955,contact.mazzagrani@gmail.com,,"Frigoriste,Autres",,Oui,non,Base donnée AR
Irmouli,Auto-entrepreneur,,"30is impasse de l'azur, 31100 toulouse, France",0674761940,irmouliabid197@gmail.com,,Peintre,,,,Base donnée AR
J&D TradiBoisOccitan,SASU,,"12 RUE Peyrou, 31390 Marquefave, France",0841313201,davrivval@gmail.com,,Menuisier,,,,Base donnée AR
Jan Schilling,Auto-entrepreneur,,"4 rue Hubertine Auclert, 31400 Toulouse, France",0782531809,sevensled@yahoo.fr,,Électricité,,,,Base donnée AR
JASMIN,Non spécifié,,"9 BOULEVARD DU PARADIS, 31490 LEGUEVIN",0624570237,alexandre.jasmin@sfr.fr,,Autres,,,,Base donnée AR
JB solution 31,EI,,"Muret, 31600 Muret, France",=+33627960864,jbsolution31@gmail.com,,"Service à la personne,Plombier,Paysagiste,Serrurier,Poseur de cuisine,Peintre",,,,Base donnée AR
JEM RENO ELECTRIQUE,Non spécifié,,"6 rue du Vignemale, 31700 Beauzelle, France",0665329479,jem.renoelec@gmail.com,,Électricité,,,,Base donnée AR
Jerenov.com,SAS,,"52 BOULEVARD GABRIEL KOENIGS 31300 TOULOUSE, 31300 Toulouse, France",0602959262,Jerenov.com31@gmail.com,,Entrepreneur TCE,,,,Base donnée AR
JK BAT - KK BAT,SAS,,"150 RUE NICOLAS-LOUIS VAUQUELIN, 31100 TOULOUSE, France",0629426169,kjkmou@gmail.com,,Entreprise de construction,,,,Base donnée AR
JULIE DECO,Micro-entreprise,,"14 chemin de la Quedolle, 31160 SENGOUAGNET, France",0687423973,chaman33@rocketmail.com,,"Peintre,Parquetiste",,,,Base donnée AR
julien bigou,EI,,"10 RUE DES BERGERONNETTES, 31530 ST PAUL SUR SAVE, France",0685607985,Julien.bigou@laposte.net,,Menuisier Poseur,,,,Base donnée AR
Juud Batipro,Non spécifié,,"10 allée du Lauragais, 31770 Colomiers, France",0768263998,yayamh36@gmail.com,,Service à la personne,,,,Base donnée AR
KCR FACADES,EI,,"216 route de saint simon, 31100 Toulouse, France",0749851946,kcrfacades@gmail.com,,Enduiseur,,,,Base donnée AR
Ki.menuiseries,Non spécifié,,"10 Clos du Périsse, 31410 MAUZAC, France",0661072848,ki.menuiseries@gmail.com,,Menuisier,,,,Base donnée AR
KMULTISERVICES,SAS,,"412 ROUTE DE SAINT SIMON, 31100 TOULOUSE, France",0659316809,k.multiservices311@gmail.com,,"Menuisier,Serrurier,Vitrier,Poseur de cuisine,Poseur de dressing,Menuisier Poseur,Poseur de veranda",,Oui,non,Base donnée AR
l'art du plâtre,EI,,"60 Chemin du Renard, 31100 Toulouse, France",=+33773079512,art.duplatre01@gmail.com,,"Plaquiste,Plâtrier",,,,Base donnée AR
L'Artisan menuisier 31,EI,,"61 Avenue de Connebarrieu, 31700 Blagnac, France",=+33768054781,eliotbooko@gmail.com,,"Vitrier,Menuisier Poseur,Poseur/réparateur de volet roulant,Poseur de portes et fenêtres",,,,Base donnée AR
L'Electricien,Non spécifié,,"2 Allee Du Catchère, 31770 Colomiers",0620034216,b.olivier@electricien31.sarl,,Électricité,,,,Base donnée AR
L'OMBRE BAIE,SARL,,"2 BOULEVARD DE L'EUROPE, 31120 PORTET SUR GARONNE, France",0667241173,balard@lombrebaie.com,,"Menuisier,Menuisier Poseur,Entreprise de rénovation énergétique",,,,Base donnée AR
LAFAGE SERVICES RENO,SASU,,"32 allée des Alpilles, 31770 COLOMIERS, France",0771180610,lafagser@gmail.com,,Électricité,,,,Base donnée AR
LAVILLE ROBERT – NEWS TOITURES,EI,,"6 rue de la vieille église, 31270 Cugnaux, France",0668773055,newscouverture@gmail.com,,Couvreur,,,,Base donnée AR
LBR France Services,SAS,,"22 Rue du Colibri, 31790 Saint-Jory, France",0783198572,lbrfranceservices@gmail.com,,Entrepreneur BTP,,,,Base donnée AR
le chantier,Non spécifié,,"5 Chemin de Lapujode, 31200 Toulouse, France",=+33771025439,mohamedrachid03@yahoo.com,,Peintre,,,,Base donnée AR
Le Gabale,Auto-entrepreneur,,"48 Bis Avenue de Bouconne, 31530 Lasserre-Pradère, France",0647818190,thomastragnone@hotmail.fr,,"Autres,Maçon",,,,Base donnée AR
Les Services du Loup,EI,,"37B route de Castelnauvou, 31140 St Loup Cammas, France",0667816601,Davidm@hotmail.com,,Plombier,,,,Base donnée AR
LL menuiserie,EI,,"8 Rue Louis Aragon, 31190 Auterive, France",=+33610902217,llmenuserie66@gmail.com,,"Menuisier,Peintre,Charpentier,Couvreur,Menuisier Poseur,Entrepreneur BTP,Nettoyeur de bâtiment,Parqueteur",,,,Base donnée AR
M CONSTRUCTION DURABLE,EI,,"32 Chemin Roudede, 31410 Le Fauga, France",0636401211,contact@mconstructiondurable.fr,,"Plombier,Électricité,Chauffagiste,Plaquiste,Frigoriste,Poseur d'alarme,Spécialiste salle de bains",,,,Base donnée AR
M.A.C.B,EI,,"61 Rue Pierre Cazeneuve, 31200 Toulouse, France",0614313128,reblazoulaker663@gmail.com,,Entrepreneur TCE,,Oui,non,Base donnée AR
